"Year","Tree: Mammoth Creek, Utah. Gt Basin B C Pine 2590m 3739-11240."
"1864",0.401
"1865",0.716
"1866",0.941
"1867",0.915
"1868",1.413
"1869",1.457
"1870",0.777
"1871",0.828
"1872",1.044
"1873",0.77
"1874",0.893
"1875",1.039
"1876",0.842
"1877",0.722
"1878",1.212
"1879",0.158
"1880",0.776
"1881",0.678
"1882",0.556
"1883",0.462
"1884",1.171
"1885",1.492
"1886",1.119
"1887",1.254
"1888",1.118
"1889",1.29
"1890",1.457
"1891",1.366
"1892",1.261
"1893",0.946
"1894",0.834
"1895",1.053
"1896",0.561
"1897",1.238
"1898",1.601
"1899",0.591
"1900",1.039
"1901",1.118
"1902",0.489
"1903",1.229
"1904",0.93
"1905",0.942
"1906",1.154
"1907",1.414
"1908",1.38
"1909",1.131
"1910",1.286
"1911",1.476
"1912",1.237
"1913",1.223
"1914",1.699
"1915",1.3
"1916",0.993
"1917",1.424
"1918",1.178
"1919",1.774
"1920",1.49
"1921",1.551
"1922",1.496
"1923",1.174
"1924",0.942
"1925",1.06
"1926",1.062
"1927",0.956
"1928",1.217
"1929",0.734
"1930",0.943
"1931",0.717
"1932",1.332
"1933",0.96
"1934",0.525
"1935",1.174
"1936",0.62
"1937",1.585
"1938",1.259
"1939",1.052
"1940",1.117
"1941",1.482
"1942",1.396
"1943",1.018
"1944",1.416
"1945",0.885
"1946",0.551
"1947",1.229
"1948",1.215
"1949",1.345
"1950",0.829
"1951",0.807
"1952",1.305
"1953",0.543
"1954",1.112
"1955",0.399
"1956",0.508
"1957",1.242
"1958",1.313
"1959",0.697
"1960",1.336
"1961",1.199
"1962",1.06
"1963",0.889
"1964",0.911
"1965",1.307
"1966",1.121
"1967",1.53
"1968",1.465
"1969",1.347
"1970",1.144
"1971",0.998
"1972",1.205
"1973",1.662
"1974",0.515
"1975",1.69
"1976",1.305
"1977",0.624
"1978",1.324
"1979",1.292
"1980",1.184
"1981",1.248
"1982",1.184
"1983",1.144
"1984",1.073
"1985",1.311
"1986",1.064
"1987",0.962
"1988",1.437
"1989",0.341

Tree: Mammoth Creek, Utah. Gt Basin B C Pine 2590m 3739-11240.

